k,condition,gamma,tau,precision,recall,mAP50,mAP50_95,F1
0.0,normal,1.0,0.25,0.6418489901989604,0.5017016945987336,0.6042783004718397,0.47662895147673645,0.5631875007206567
0.0,mild,1.4,0.25,0.604159295263581,0.5160069865808516,0.5984138191744723,0.4714046998215285,0.5566145355677953
0.0,medium,1.8,0.25,0.6102322101685548,0.48053134508505313,0.5816665951260258,0.45654668374594776,0.5376705214510796
0.0,severe,2.2,0.25,0.5987706338430192,0.4390476084208467,0.5515245982461263,0.42322546293915875,0.5066182190206142
0.02,normal,1.0,0.25,0.6418489901989604,0.5017016945987336,0.6042783004718397,0.47662895147673645,0.5631875007206567
0.02,mild,1.4,0.242,0.5965097170093798,0.5202790297726727,0.5979947170927472,0.47040988657176697,0.55579266483454
0.02,medium,1.8,0.23399999999999999,0.5929517477158697,0.4918338384669926,0.5807037812459541,0.4551818436322359,0.5376799578080811
0.02,severe,2.2,0.226,0.5725741293378477,0.4503795340003407,0.5473558921342058,0.41865044400590945,0.5041785934082471
0.05,normal,1.0,0.25,0.6418489901989604,0.5017016945987336,0.6042783004718397,0.47662895147673645,0.5631875007206567
0.05,mild,1.4,0.23,0.5870545160048528,0.5271985361418532,0.5978653565057716,0.4692394408117345,0.5555188399564259
0.05,medium,1.8,0.21,0.5699170703955915,0.5019949909586308,0.5780328594389413,0.45051638274456124,0.5338040776198741
0.05,severe,2.2,0.19,0.5887026697308013,0.4426190315069947,0.54080385761351,0.4109054702566516,0.5053146951316765
0.08,normal,1.0,0.25,0.6418489901989604,0.5017016945987336,0.6042783004718397,0.47662895147673645,0.5631875007206567
0.08,mild,1.4,0.218,0.5775074136718016,0.53693874703801,0.5985548663566785,0.468448697369405,0.5564846791783987
0.08,medium,1.8,0.186,0.5894573720582944,0.48990296709245895,0.5722396864046729,0.4435191363389302,0.535088987562936
0.08,severe,2.2,0.15399999999999997,0.5913371357385355,0.4406325914088846,0.5310519654224244,0.39959944957633,0.5049807327915077
0.1,normal,1.0,0.25,0.6418489901989604,0.5017016945987336,0.6042783004718397,0.47662895147673645,0.5631875007206567
0.1,mild,1.4,0.21000000000000002,0.5666771904230619,0.5420572011228035,0.5975075293711742,0.4666523778207272,0.5540938463225292
0.1,medium,1.8,0.16999999999999998,0.5912932002253932,0.48850020456117055,0.5710845277045739,0.4407521938666203,0.5350039146105516
0.1,severe,2.2,0.12999999999999998,0.5917867221451003,0.4403039365829512,0.5238758941798412,0.392206119750136,0.5049285567590165
0.12,normal,1.0,0.25,0.6418489901989604,0.5017016945987336,0.6042783004718397,0.47662895147673645,0.5631875007206567
0.12,mild,1.4,0.202,0.5828797037337679,0.5338751239636814,0.5960057409340374,0.46466742030844377,0.5573022231359188
0.12,medium,1.8,0.154,0.5912932002253932,0.48850020456117055,0.5655814226256954,0.43558095326569,0.5350039146105516
0.12,severe,2.2,0.10599999999999998,0.5917867221451003,0.4403039365829512,0.5179032208685105,0.38602321162708386,0.5049285567590165
0.15,normal,1.0,0.25,0.6418489901989604,0.5017016945987336,0.6042783004718397,0.47662895147673645,0.5631875007206567
0.15,mild,1.4,0.19,0.6008337192684475,0.5164803409339653,0.5943302765334557,0.46212298825843445,0.5554728347662121
0.15,medium,1.8,0.13,0.5891475234719286,0.48990296709245895,0.5643635822479501,0.4323831448628607,0.5349612874057621
0.15,severe,2.2,0.06999999999999998,0.5917867221451003,0.4403039365829512,0.507173206454776,0.3738266992817967,0.5049285567590165
